,query,region,title,excerpt,date,source,link
0,semiconductor,china,Lagging but motivated: The state of China's semiconductor ...,"Every year, China imports more than $300 billion of semiconductors, and 
most, though not all, major American semiconductor companies pull in at ...",7 Jan 2021,Brookings Institution,https://www.brookings.edu/techstream/lagging-but-motivated-the-state-of-chinas-semiconductor-industry/
1,semiconductor,china,The World Is Dangerously Dependent on Taiwan for ...,"As China pushes the world to avoid official dealings with Taiwan, ... 
That's mostly down to Taiwan Semiconductor Manufacturing Co., ...",25 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/features/2021-01-25/the-world-is-dangerously-dependent-on-taiwan-for-semiconductors
2,semiconductor,china,"China made more chips in 2020, but also imported more","China's semiconductor industry will continue to grow in 2021, Lee said, as 
the country expands capacity for its chip fabrication plants.",19 Jan 2021,South China Morning Post,https://www.scmp.com/tech/policy/article/3118327/china-boosts-semiconductor-production-2020-imports-keep-apace
3,semiconductor,china,"Stuck in the Middle: Taiwan's Semiconductor Industry, the US ...","The Trump administration has worked to restrict the People's Republic of 
China's ability to manufacture and acquire semiconductor chips ...",19 Jan 2021,Foreign Policy Research Institute,https://www.fpri.org/article/2021/01/stuck-in-the-middle-taiwans-semiconductor-industry-the-u-s-china-tech-fight-and-cross-strait-stability/
4,semiconductor,china,Boardroom drama shakes China’s biggest chipmaker SMIC,"The departure of Mr Liang, 68, who joined Semiconductor Manufacturing 
International Corp in November 2017, would have amounted to declaring ...",19 Jan 2021,Financial Times,https://www.ft.com/content/729a56ca-d187-411b-ae6e-6da55f5f8236
5,semiconductor,china,"U.S.-China tech rivalry underscores world’s dependence on Taiwan 
semiconductor industry","That's mostly down to Taiwan Semiconductor Manufacturing Co., the world's 
largest foundry and go-to producer of chips for Apple Inc. smartphones ...",30 Jan 2021,The Seattle Times,https://www.seattletimes.com/business/technology/u-s-china-tech-rivalry-underscores-worlds-dependence-on-taiwan-semiconductor-industry/
6,semiconductor,china,Trump's China tech war backfires on automakers as chips run ...,"Jan 15 (Reuters) - Automakers around the world are shutting assembly lines 
because of a global shortage of semiconductors that in some cases ...",14 Jan 2021,Reuters,https://www.reuters.com/business/autos-transportation/trumps-china-tech-war-backfires-automakers-chips-run-short-2021-01-15/
7,semiconductor,china,China's $150 Billion Chip Push Has Hit a Dutch Snag,"Europe's largest tech company supplies the machines that can make 
next-generation semiconductors. But it's isn't selling these to China.",20 Jan 2021,Bloomberg.com,https://www.bloomberg.com/opinion/articles/2021-01-20/asml-china-s-150-billion-chip-push-has-hit-a-dutch-snag
8,semiconductor,china,Beijing’s quest for chip independence is made in Taiwan,"In 2014, China announced a plan to spend $150 billion to expand its 
homegrown semiconductor industry. President Xi Jinping has made ...",21 Jan 2021,Fortune,https://fortune.com/2021/01/21/china-chip-semiconductor-independence-taiwan/
9,semiconductor,china,"Shanghai adds chips to its priority list along with Tesla, digital yuan","China's reliance on US and foreign technology is set to continue, according 
to analysts, as the production of 12-nm semiconductors still ...",28 Jan 2021,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3119500/shanghai-adds-advanced-chip-production-its-2021-priority-list-along
10,semiconductor,china,China's Car-Chip Shortage Could Persist for as Long as a ...,"The China Automotive Chip Industry Innovation Strategic Alliance has been 
identifying semiconductor products that Chinese chipmakers can ...",19 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-01-19/china-s-car-chip-shortage-could-persist-for-as-long-as-a-decade
